,FECHA,ESTACION,TIPO_CONTAMINANTE,CANTIDAD_CONTAMINANTE,AQI,longitud,latitud,AQI_CATEGORY
133,2024-01-08,AJM,CO,0.3154166666666667,3.584280303030303,-99.207744,19.272161,GOOD
134,2024-01-08,BJU,CO,0.2668253968253968,3.0321067821067818,-99.159596,19.370464,GOOD
135,2024-01-08,CAM,CO,0.68,7.727272727272727,-99.169794,19.468404,GOOD
136,2024-01-08,CHO,CO,0.40625,4.6164772727272725,-98.886088,19.266948,GOOD
137,2024-01-08,CUA,CO,0.4895833333333333,5.563446969696969,-99.291705,19.365313,GOOD
138,2024-01-08,FAC,CO,0.75,8.522727272727272,-99.243524,19.482473,GOOD
139,2024-01-08,HGM,CO,0.3004166666666667,3.413825757575758,-99.152207,19.411617,GOOD
140,2024-01-08,IZT,CO,0.31083333333333335,3.53219696969697,-99.117641,19.384413,GOOD
141,2024-01-08,LPR,CO,0.49500000000000005,5.625,-99.11772,19.534727,GOOD
142,2024-01-08,MER,CO,0.3866666666666667,4.393939393939394,-99.119594,19.42461,GOOD
143,2024-01-08,MGH,CO,0.4739880952380952,5.386228354978354,-99.20266,19.40405,GOOD
144,2024-01-08,MPA,CO,0.17380952380952383,1.975108225108225,-98.990189,19.1769,GOOD
145,2024-01-08,PED,CO,0.31279761904761905,3.554518398268398,-99.204136,19.325146,GOOD
146,2024-01-08,SAC,CO,0.26166666666666666,2.973484848484848,-99.009381,19.34561,GOOD
147,2024-01-08,SAG,CO,0.33708333333333335,3.830492424242424,-99.030324,19.532968,GOOD
148,2024-01-08,TAH,CO,0.1218452380952381,1.3846049783549785,-99.010564,19.246459,GOOD
149,2024-01-08,TLI,CO,0.20883333333333332,2.3731060606060606,-99.177173,19.602542,GOOD
150,2024-01-08,UIZ,CO,0.36083333333333334,4.100378787878788,-99.07388,19.360794,GOOD
151,2024-01-09,AJM,CO,0.36604166666666665,4.1595643939393945,-99.207744,19.272161,GOOD
